country,city,date,congestion,diffRatio
Saudi Arabia,Riyadh,2020-10-11,7,-0.5
Saudi Arabia,Riyadh,2020-10-12,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-13,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-14,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-10-15,10,-0.4444444444444444
Saudi Arabia,Riyadh,2020-10-16,5,-0.5
Saudi Arabia,Riyadh,2020-10-17,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-10-18,6,-0.5714285714285714
Saudi Arabia,Riyadh,2020-10-19,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-20,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-21,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-22,9,-0.5
Saudi Arabia,Riyadh,2020-10-23,4,-0.6
Saudi Arabia,Riyadh,2020-10-24,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-10-25,7,-0.5
Saudi Arabia,Riyadh,2020-10-26,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-10-27,9,-0.4
Saudi Arabia,Riyadh,2020-10-28,11,-0.2666666666666666
Saudi Arabia,Riyadh,2020-10-29,12,-0.3333333333333333
Saudi Arabia,Riyadh,2020-10-30,6,-0.4
Saudi Arabia,Riyadh,2020-10-31,7,-0.2222222222222222
Saudi Arabia,Riyadh,2020-11-01,8,-0.4285714285714285
Saudi Arabia,Riyadh,2020-11-02,9,-0.4
Saudi Arabia,Riyadh,2020-11-03,9,-0.4
Saudi Arabia,Riyadh,2020-11-04,9,-0.4
Saudi Arabia,Riyadh,2020-11-05,10,-0.4444444444444444
Saudi Arabia,Riyadh,2020-11-06,4,-0.6
Saudi Arabia,Riyadh,2020-11-07,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-11-08,6,-0.5714285714285714
Saudi Arabia,Riyadh,2020-11-09,6,-0.6
Saudi Arabia,Riyadh,2020-11-10,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-11-11,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-11-12,10,-0.4444444444444444
Saudi Arabia,Riyadh,2020-11-13,5,-0.5
Saudi Arabia,Riyadh,2020-11-14,6,-0.3333333333333333
Saudi Arabia,Riyadh,2020-11-15,6,-0.5714285714285714
Saudi Arabia,Riyadh,2020-11-16,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-11-17,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-11-18,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-11-19,10,-0.4444444444444444
Saudi Arabia,Riyadh,2020-11-20,5,-0.5
Saudi Arabia,Riyadh,2020-11-21,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-11-22,6,-0.5714285714285714
Saudi Arabia,Riyadh,2020-11-23,6,-0.6
Saudi Arabia,Riyadh,2020-11-24,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-11-25,9,-0.4
Saudi Arabia,Riyadh,2020-11-26,13,-0.2777777777777778
Saudi Arabia,Riyadh,2020-11-27,7,-0.3
Saudi Arabia,Riyadh,2020-11-28,12,0.3333333333333333
Saudi Arabia,Riyadh,2020-11-29,9,-0.3571428571428571
Saudi Arabia,Riyadh,2020-11-30,13,-0.1333333333333333
Saudi Arabia,Riyadh,2020-12-01,17,0.1333333333333333
Saudi Arabia,Riyadh,2020-12-02,11,-0.2666666666666666
Saudi Arabia,Riyadh,2020-12-03,12,-0.3333333333333333
Saudi Arabia,Riyadh,2020-12-04,6,-0.4
Saudi Arabia,Riyadh,2020-12-05,8,-0.1111111111111111
Saudi Arabia,Riyadh,2020-12-06,9,-0.3571428571428571
Saudi Arabia,Riyadh,2020-12-07,9,-0.4
