datetime,close
1972-05-01,792.55
1972-06-01,792.85
1972-07-01,783.22
1972-08-01,809.05
1972-09-01,795.5
1972-10-01,793.18
1972-11-01,831.02
1972-12-01,846.35
1973-01-01,850.83
1973-02-01,814.91
1973-03-01,794.66
1973-04-01,774.45
1973-05-01,747.54
1973-06-01,725.84
1973-07-01,731.11
1973-08-01,704.57
1973-09-01,715.2
1973-10-01,737.12
1973-11-01,680.28
1973-12-01,628.03
1974-01-01,631.37
1974-02-01,606.09
1974-03-01,624.04
1974-04-01,589.68
1974-05-01,564.82
1974-06-01,560.96
1974-07-01,491.48
1974-08-01,465.5
1974-09-01,412.12
1974-10-01,416.0
1974-11-01,426.44
1974-12-01,395.61
1975-01-01,426.35
1975-02-01,467.06
1975-03-01,486.67
1975-04-01,490.27
1975-05-01,518.46
1975-06-01,527.73
1975-07-01,522.39
1975-08-01,483.21
1975-09-01,474.72
