Price,Close,High,Low,Open,Volume
Ticker,AA,AA,AA,AA,AA
Date,,,,,
2025-10-22,35.43932342529297,37.308210602034805,35.240504591639585,37.159099320910144,9566800
2025-10-23,39.90278625488281,41.304453504165636,37.462296404548276,37.462296404548276,20278200
2025-10-24,39.187042236328125,39.74373423244406,37.556734566747,38.25259861385342,10623400
2025-10-27,39.664207458496094,40.56882954758406,39.10950257222221,39.50515315026592,7207000
2025-10-28,39.077693939208984,39.70396814403099,38.85899284359594,39.510120824611725,6073400
2025-10-29,38.6800537109375,39.76361229773698,38.47129565649124,39.71390854079552,6292800
2025-10-30,36.54275894165039,37.77543262207629,36.08547829897372,37.77543262207629,10180200
2025-10-31,36.57258605957031,36.8012263923448,36.20476988792304,36.8012263923448,4578300
2025-11-03,36.980159759521484,37.119331794178876,36.378735585664316,36.75151944656241,5225600
2025-11-04,35.14610290527344,36.55454069764575,35.101250087588106,35.78403879723013,4886100
2025-11-05,35.62455749511719,36.142874491149904,35.14610460245175,35.38533104878447,5215100
2025-11-06,36.581451416015625,37.37886647364507,35.684357099698175,35.90364766643687,8742000
2025-11-07,37.1994514465332,37.458613743472924,35.425202285043376,35.94352307654749,4693800
2025-11-10,38.664703369140625,39.04347317418625,38.09654485919697,38.415510906801295,5676500
2025-11-11,37.35893249511719,38.74942685394239,37.234336267291006,38.66470233159061,4301500
2025-11-12,39.90069580078125,40.24956752902475,38.02178631024739,38.046703275023575,8544700
2025-11-13,38.0666389465332,40.11998619257339,37.56825402488633,40.050212607732846,7396100
2025-11-14,37.46857833862305,38.021785902550306,36.302355651671604,36.70106510756743,4371700
2025-11-17,35.664424896240234,36.920357067559806,35.24578337405059,36.90042121378287,6772200
2025-11-18,36.43193817138672,36.75090422720205,35.05639467919853,35.31555697603306,5739900
2025-11-19,36.60139083862305,37.03996821251357,36.11297192933846,36.402036104172694,4079300
2025-11-20,35.714263916015625,38.1563468948425,35.43516578517466,37.289158229698366,5687500
2025-11-21,36.222618103027344,36.84559928682847,35.00655761548743,35.39529726579927,5183000
2025-11-24,38.59492874145508,38.709555141705074,36.511679660470286,36.89044945528561,4911600
2025-11-25,39.07337951660156,39.6315682081689,38.36567382414995,38.74444363560628,5008800
2025-11-26,41.43572235107422,42.02381671453814,39.472084530251834,39.472084530251834,7662000
2025-11-28,41.60517501831055,42.033782553629536,41.346012729187215,42.033782553629536,3769000
2025-12-01,41.515464782714844,42.59197421778964,41.31611005699725,41.684913828030965,7454900
2025-12-02,41.31610870361328,42.092591703579956,41.166591713629,41.51546342280065,5932400
2025-12-03,43.957550048828125,44.814772751312695,42.18330088476725,42.27301032578018,8937500
2025-12-04,43.86783981323242,44.31638701017248,43.379424711745116,43.808036055223916,5540500
2025-12-05,43.62861633300781,44.69715220172202,43.589740849153635,44.10706539970261,5135400
2025-12-08,44.316383361816406,44.55560978128182,42.900972103968776,43.847904152358005,7234700
2025-12-09,43.329586029052734,44.39114453655129,43.20000488558396,43.504019990044256,4859800
2025-12-10,44.49580383300781,44.625384973330995,42.6218755203632,43.63858118565841,8209400
2025-12-11,47.08740997314453,47.326632610792025,44.35625887710466,44.35625887710466,8980500
2025-12-12,45.99095916748047,47.962570522288416,45.67199312732121,46.94785728795825,7533600
2025-12-15,45.34306335449219,46.529218138658,45.253353913513244,46.5092822848432,3853800
2025-12-16,46.409603118896484,46.808308756286266,45.5125087806132,45.851410663700776,4553000
2025-12-17,46.688697814941406,47.675501594865544,46.50927894586429,47.04753555309564,4564100
2025-12-18,48.02437210083008,48.5725947626911,46.878085242268185,47.09737582796269,5808000
2025-12-19,51.08445358276367,51.50309508454577,48.38320826685976,48.50281958131534,9579700
2025-12-22,53.54647445678711,53.812610287855634,51.58283674928151,51.82206317246811,8577200
2025-12-23,53.47670364379883,54.1844093203662,52.9085451369912,54.1844093203662,5557800
2025-12-24,53.45676803588867,53.85348124922217,52.82880196671362,53.825571815142176,1884200
2025-12-26,54.074764251708984,54.2541831285314,53.56641330229562,54.244213300721704,3152800
2025-12-29,53.5963134765625,53.765762520186584,52.101158752173134,52.33041535362783,4211000
2025-12-30,54.204341888427734,54.64291922428874,53.60627773693549,54.55320979168365,3457300
2025-12-31,52.96834945678711,54.40370048070697,52.46996452956498,54.214311774842415,5678900
2026-01-02,56.35736846923828,56.427142054842506,53.835538152488155,53.94518344483058,5897500
2026-01-05,61.24153518676758,61.560501218804774,57.31426354082518,57.88242202303988,9786100
