date,start,end,n_alert_windows,peak_z,peak_time,peak_classes,share_multiclass,sigma_ratio,event,type
2013-01-18,12:50:00,12:50:00,1,3.058395803008277,12:50:00,2,1.0,1.0161238669185666,,mixed
2018-04-30,13:19:00,13:21:00,3,3.0583950070243997,13:19:00,1,0.0,0.964925061642014,,mixed
2012-09-07,12:46:00,12:47:00,2,3.0559121783821865,12:46:00,3,1.0,0.5978091562582123,,compressed
2017-08-30,15:43:00,15:44:00,2,3.0557946478662212,15:43:00,2,1.0,1.0404355074591032,,mixed
2020-02-28,15:59:00,15:59:00,1,3.0552333518439796,15:59:00,2,1.0,2.1861900322530183,COVID week-1 climax,dispersed
2015-08-31,11:36:00,11:38:00,2,3.0552320528937082,11:38:00,1,0.0,0.5929947689276127,,compressed
2014-10-07,14:13:00,14:15:00,2,3.0551678958771964,14:13:00,2,0.5,0.9193619096469439,,mixed
2016-11-17,12:33:00,12:34:00,2,3.0545049297497884,12:34:00,1,0.0,0.593704045993219,,compressed
2021-01-26,12:30:00,12:35:00,5,3.054231053637083,12:32:00,2,1.0,1.521125307371653,,dispersed
2018-09-07,15:33:00,15:34:00,2,3.054050978228864,15:34:00,2,1.0,1.018084068882156,,mixed
2015-07-22,14:43:00,14:45:00,3,3.0531212142996913,14:44:00,1,0.0,0.884505070694357,,mixed
2013-05-31,13:26:00,13:27:00,2,3.053080984660309,13:26:00,1,0.0,0.7221134185588365,,mixed
2016-07-15,13:22:00,13:22:00,1,3.0518175601490043,13:22:00,1,0.0,0.9913109507696396,,mixed
2020-02-11,11:29:00,11:29:00,1,3.0515634857701177,11:29:00,1,0.0,1.273876957339923,,mixed
2009-04-08,14:49:00,14:49:00,1,3.051378712977994,14:49:00,1,0.0,0.9418884159678966,,mixed
2011-07-01,14:27:00,14:29:00,2,3.0496456001409302,14:27:00,1,0.0,0.832416701180017,,mixed
2010-05-19,11:52:00,11:53:00,2,3.049437258238361,11:52:00,1,0.0,1.5400398051811302,,dispersed
2013-02-08,13:01:00,13:01:00,1,3.0493767314893048,13:01:00,2,1.0,0.679907816483614,,mixed
2020-08-31,12:21:00,12:22:00,2,3.048789225497583,12:21:00,2,1.0,1.3010624460560039,,mixed
2008-09-03,14:13:00,14:13:00,1,3.0487116753926573,14:13:00,2,1.0,1.3571262034731144,,mixed
2008-08-26,14:03:00,14:03:00,1,3.0467370125348414,14:03:00,2,1.0,0.9276202358699887,,mixed
2018-12-18,13:28:00,13:28:00,1,3.045593433149776,13:28:00,2,1.0,0.8952707116495081,,mixed
2017-09-15,13:28:00,13:28:00,1,3.0455685664183783,13:28:00,1,0.0,0.6175526311627995,,compressed
2010-03-29,14:38:00,14:38:00,1,3.0455219847441954,14:38:00,1,0.0,0.8428841657395906,,mixed
2014-12-26,12:32:00,12:35:00,3,3.0452715873441103,12:35:00,2,0.3333333333333333,0.43191504218774435,,compressed
2019-01-15,14:26:00,14:27:00,2,3.045212035496599,14:27:00,2,1.0,0.8292470099966825,,mixed
2009-11-13,14:13:00,14:13:00,1,3.044502600222984,14:13:00,1,0.0,0.5458884584102385,,compressed
2014-11-26,15:41:00,15:42:00,2,3.0439830865880504,15:42:00,1,0.0,0.5837072196089341,,compressed
2020-11-24,13:51:00,13:51:00,1,3.043906945922297,13:51:00,2,1.0,1.0002866554769598,,mixed
2018-07-19,14:20:00,14:20:00,1,3.043426609666378,14:20:00,2,1.0,2.045389127440997,,dispersed
2011-08-23,14:21:00,14:21:00,1,3.04263307047911,14:21:00,1,0.0,1.0376021960766084,,mixed
2013-08-21,14:35:00,14:35:00,1,3.042391283056477,14:35:00,2,1.0,2.162894388376938,,dispersed
2020-03-12,11:00:00,11:04:00,2,3.042328050583708,11:04:00,3,1.0,2.254436176458967,COVID CIRCUIT BREAKER #2 (-9.5% day),dispersed
2008-02-08,13:21:00,13:25:00,5,3.0421473989121415,13:23:00,2,1.0,1.0176192244617297,,mixed
2015-09-10,14:51:00,14:51:00,1,3.040301698409089,14:51:00,1,0.0,1.0372528175759217,,mixed
2018-05-21,14:42:00,14:44:00,2,3.0395101241891855,14:42:00,2,1.0,0.9272255531274833,,mixed
2020-10-21,12:52:00,12:52:00,1,3.0393989721910875,12:52:00,2,1.0,1.5985802148923056,,dispersed
2019-01-04,15:36:00,15:36:00,1,3.038713572626884,15:36:00,1,0.0,0.8144817746294808,,mixed
2013-06-11,13:14:00,13:14:00,1,3.0386940778543443,13:14:00,1,0.0,0.6239615373807209,,compressed
2008-07-24,14:14:00,14:14:00,1,3.0375799950211566,14:14:00,1,0.0,0.9369000316887209,,mixed
2008-11-18,14:27:00,14:27:00,1,3.0353000640907633,14:27:00,2,1.0,1.0279559162586944,,mixed
2015-06-02,13:11:00,13:11:00,1,3.0347451520502484,13:11:00,2,1.0,1.010102992047786,,mixed
2009-01-26,11:28:00,11:29:00,2,3.034211638892327,11:29:00,2,1.0,0.9624960877211692,,mixed
2010-09-13,13:37:00,13:37:00,1,3.034046174544665,13:37:00,2,1.0,1.188059515459444,,mixed
2013-05-06,13:41:00,13:41:00,1,3.032840378791291,13:41:00,1,0.0,0.6517002304166012,,compressed
2011-12-07,15:01:00,15:01:00,1,3.032553146384404,15:01:00,2,1.0,1.2564397064467128,,mixed
2008-09-03,14:36:00,14:36:00,1,3.0322330361353944,14:36:00,2,1.0,1.3541521347436298,,mixed
2020-07-09,15:00:00,15:01:00,2,3.0307086719519423,15:01:00,2,1.0,0.995454941196181,,mixed
2011-10-21,12:35:00,12:36:00,2,3.0299767433744385,12:35:00,1,0.0,0.6286277625239661,,compressed
2015-04-29,14:51:00,14:51:00,1,3.0299257630113825,14:51:00,3,1.0,2.6258847893930026,,dispersed
2019-07-12,12:32:00,12:32:00,1,3.0298976685448435,12:32:00,1,0.0,0.6192739671821821,,compressed
2009-04-24,13:43:00,13:43:00,1,3.029834751097796,13:43:00,1,0.0,0.6369890981487115,,compressed
