t2_off,L,method,t1,t2,tc_norm,m,w,tc_days_after_t2,tc_idx,tc_days_vs_peak,seconds
5,300,P-LNN-100K-AR1,2018-11-30,2020-02-11,1.0473175048828125,0.6993908286094666,8.427363395690918,14.147933959960938,5576.147933959961,9.147933959960938,0.0004573100000015984
5,300,P-LNN-100K-BOTH,2018-11-30,2020-02-11,1.1407259702682495,0.8257719874382019,8.028340339660645,42.077065110206604,5604.077065110207,37.077065110206604,0.00035535799997887807
5,350,LM,2018-09-20,2020-02-11,0.971488534999142,0.6306758120103263,14.09206032065042,-9.95050128529944,5552.0494987147,-14.950501285299651,1.0227766460000112
5,350,lppls-repo (NM),2018-09-20,2020-02-11,1.0313733695004277,0.35176896121107404,7.089396140851418,10.949305955649262,5572.949305955649,5.949305955648924,0.016216521999922406
5,350,M-LNN,2018-09-20,2020-02-11,1.0313732624053955,0.35176920890808105,7.089395046234131,10.949268579483032,5572.949268579483,5.949268579483032,0.429477573999975
5,350,M-LNN-KAN,2018-09-20,2020-02-11,1.00128173828125,0.5460666418075562,10.480446815490723,0.44732666015625,5562.447326660156,-4.55267333984375,2.7571337819999826
5,350,P-LNN-100K,2018-09-20,2020-02-11,1.117490530014038,0.7334315180778503,9.284161567687988,41.00419497489929,5603.004194974899,36.00419497489929,0.0006170259998725669
5,350,P-LNN-100K-AR1,2018-09-20,2020-02-11,1.1013054847717285,0.6458339095115662,9.53433609008789,35.35561418533325,5597.355614185333,30.355614185333252,0.00047204999987116025
5,350,P-LNN-100K-BOTH,2018-09-20,2020-02-11,1.0970540046691895,0.7363916635513306,9.116048812866211,33.87184762954712,5595.871847629547,28.87184762954712,0.0003855059999295918
10,150,LM,2019-07-02,2020-02-04,0.9302722137214148,0.44720484731760685,14.914453682102682,-10.389440155509199,5546.610559844491,-20.389440155508964,1.1427779000000555
