t2_idx,date,price,pos_conf,neg_conf,med_tc_idx,med_price_c,med_tc_idx_neg,med_price_c_neg,n_pos_qual
340,1995-05-09,848.169983,0.5,0.0,341.7068350400086,847.8724714140893,,,3
345,1995-05-16,868.25,0.6666666666666666,0.0,348.2506382837614,872.8318774208038,,,4
350,1995-05-23,879.640015,0.6,0.0,354.39332773638824,888.5782133092569,,,3
355,1995-05-31,864.580017,0.375,0.0,370.9291662448797,1085.1739502732078,,,3
360,1995-06-07,881.580017,0.5454545454545454,0.0,367.61987529043824,907.056231133366,,,6
365,1995-06-14,895.719971,0.5,0.0,368.0976142956272,912.482595387232,,,4
370,1995-06-21,929.190002,0.3333333333333333,0.0,379.5407332031675,1023.9663443157117,,,2
375,1995-06-28,920.52002,0.8333333333333334,0.0,385.60069037399074,1163.8633376516568,,,5
380,1995-07-06,952.929993,0.8333333333333334,0.0,386.31708055266773,1067.9720045673375,,,5
385,1995-07-13,994.150024,0.625,0.0,387.38788550179197,1188.432052441718,,,5
390,1995-07-20,960.570007,1.0,0.0,401.02493471177513,1625.3821978856304,,,2
395,1995-07-27,1010.659973,0.5,0.0,408.1540135591954,1503.5276418009505,,,3
400,1995-08-03,982.700012,0.42857142857142855,0.0,410.1413587195108,1334.6748994891523,,,3
405,1995-08-10,1000.609985,0.5,0.0,412.07295517389474,4910.0405848630835,,,1
410,1995-08-17,1029.23999,0.5,0.0,419.2662165291809,1641.2512489490061,,,3
415,1995-08-24,1020.929993,0.42857142857142855,0.0,427.4096852725179,1810.8863747225453,,,3
420,1995-08-31,1020.109985,0.25,0.0,435.7712967769212,1888.6626982987116,,,1
425,1995-09-08,1060.030029,0.2857142857142857,0.0,445.6288556554953,1993.9473290369285,,,2
430,1995-09-15,1051.099976,0.2,0.0,437.54072808901094,1127.744132270014,,,1
435,1995-09-22,1053.390015,0.2857142857142857,0.0,458.0401232024701,3335.234976112773,,,2
440,1995-09-29,1043.540039,0.3333333333333333,0.0,480.3885037203268,6310.32099044009,,,2
445,1995-10-06,1012.039978,0.5,0.0,497.03775760791774,4883.166983736311,,,2
450,1995-10-13,1018.380005,0.2857142857142857,0.0,484.89785253557005,2494.0444238759455,,,2
455,1995-10-20,1039.530029,0.25,0.0,510.022439207483,2986.1680478553326,,,1
460,1995-10-27,1025.550049,0.0,0.0,,,,,0
465,1995-11-03,1065.660034,0.14285714285714285,0.0,483.1725569001744,1267.3167322250342,,,1
470,1995-11-10,1063.869995,0.0,0.0,,,,,0
475,1995-11-17,1045.030029,0.0,0.0,,,,,0
480,1995-11-27,1029.319946,0.25,0.0,511.70602178132185,1276.7475644759004,,,1
485,1995-12-04,1069.790039,0.16666666666666666,0.0,495.4892139865774,1113.053451848532,,,1
490,1995-12-11,1061.5,0.0,0.0,,,,,0
495,1995-12-18,1002.559998,0.16666666666666666,0.0,504.82411968994745,1127.9082845798916,,,1
500,1995-12-26,1049.369995,0.2,0.0,573.7694548705881,1294.6837747865272,,,1
505,1996-01-03,1046.26001,0.0,0.0,,,,,0
510,1996-01-10,990.210022,0.0,0.0,,,,,0
515,1996-01-17,998.299988,0.0,0.0,,,,,0
520,1996-01-24,1043.459961,0.0,0.0,,,,,0
525,1996-01-31,1059.790039,0.0,0.0,,,,,0
530,1996-02-07,1084.880005,0.0,0.0,,,,,0
535,1996-02-14,1088.030029,0.0,0.0,,,,,0
540,1996-02-22,1117.109985,0.0,0.0,,,,,0
545,1996-02-29,1100.050049,0.0,0.0,,,,,0
550,1996-03-07,1093.119995,0.0,0.0,,,,,0
555,1996-03-14,1091.069946,0.0,0.0,,,,,0
560,1996-03-21,1099.790039,0.14285714285714285,0.0,561.5993120958713,1107.3212591448785,,,1
565,1996-03-28,1094.829956,0.0,0.0,,,,,0
570,1996-04-04,1118.209961,0.0,0.0,,,,,0
575,1996-04-12,1100.939941,0.125,0.0,578.0719867942917,1126.913827400694,,,1
580,1996-04-19,1138.699951,0.0,0.0,,,,,0
585,1996-04-26,1186.890015,0.0,0.0,,,,,0
590,1996-05-03,1184.599976,0.25,0.0,601.9857776893912,1200.4434916046994,,,1
595,1996-05-10,1202.76001,0.2,0.0,595.0000000460998,1161.340193935678,,,1
600,1996-05-17,1241.880005,0.0,0.0,,,,,0
605,1996-05-24,1247.800049,0.4,0.0,609.687173849316,1353.6559584759793,,,2
610,1996-06-03,1238.72998,0.25,0.0,618.6297760537153,135517.30172250906,,,2
615,1996-06-10,1230.040039,0.3333333333333333,0.0,622.0823567737615,1444.6369641724295,,,2
620,1996-06-17,1207.640015,0.0,0.0,,,,,0
625,1996-06-24,1182.900024,0.25,0.0,636.9164363922757,1576.247451482717,,,1
630,1996-07-01,1197.449951,0.0,0.0,,,,,0
635,1996-07-09,1153.589966,0.0,0.0,,,,,0
640,1996-07-16,1053.469971,0.0,0.0,,,,,0
645,1996-07-23,1049.069946,0.0,0.0,,,,,0
650,1996-07-30,1071.949951,0.0,0.0,,,,,0
655,1996-08-06,1128.869995,0.0,0.0,,,,,0
660,1996-08-13,1126.150024,0.0,0.0,,,,,0
665,1996-08-20,1124.670044,0.0,0.0,,,,,0
670,1996-08-27,1149.02002,0.0,0.0,,,,,0
675,1996-09-04,1143.819946,0.0,0.0,,,,,0
680,1996-09-11,1153.949951,0.0,0.0,,,,,0
685,1996-09-18,1205.709961,0.0,0.0,,,,,0
690,1996-09-25,1224.660034,0.0,0.0,,,,,0
695,1996-10-02,1236.109985,0.0,0.0,,,,,0
700,1996-10-09,1237.97998,0.0,0.0,,,,,0
705,1996-10-16,1250.98999,0.0,0.0,,,,,0
710,1996-10-23,1227.880005,0.0,0.0,,,,,0
715,1996-10-30,1206.22998,0.0,0.0,,,,,0
720,1996-11-06,1245.48999,0.0,0.0,,,,,0
725,1996-11-13,1260.719971,0.0,0.0,,,,,0
730,1996-11-20,1264.939941,0.0,0.0,,,,,0
735,1996-11-27,1287.319946,0.0,0.0,,,,,0
740,1996-12-05,1300.119995,0.0,0.0,,,,,0
745,1996-12-12,1298.329956,0.0,0.0,,,,,0
750,1996-12-19,1295.859985,0.0,0.0,,,,,0
755,1996-12-27,1291.380005,0.0,0.0,,,,,0
760,1997-01-06,1316.400024,0.0,0.0,,,,,0
765,1997-01-13,1330.910034,0.0,0.0,,,,,0
770,1997-01-20,1364.280029,0.0,0.0,,,,,0
775,1997-01-27,1352.810059,0.0,0.0,,,,,0
780,1997-02-03,1376.050049,0.25,0.0,793.4100583674808,1415.04800817049,,,2
785,1997-02-10,1335.339966,0.2857142857142857,0.0,803.8906966777256,1418.5732165805625,,,2
790,1997-02-18,1365.790039,0.0,0.0,,,,,0
795,1997-02-25,1347.689941,0.0,0.0,,,,,0
800,1997-03-04,1317.369995,0.0,0.0,,,,,0
805,1997-03-11,1316.76001,0.0,0.0,,,,,0
810,1997-03-18,1269.339966,0.0,0.2,,,811.609519463778,1225.0111806107661,0
815,1997-03-25,1248.060059,0.0,0.25,,,818.4720920665628,981.6037067629393,0
820,1997-04-02,1201.0,0.0,0.0,,,,,0
825,1997-04-09,1249.430054,0.0,0.0,,,,,0
830,1997-04-16,1210.27002,0.0,0.0,,,,,0
835,1997-04-23,1227.140015,0.0,0.0,,,,,0
840,1997-04-30,1260.76001,0.0,0.0,,,,,0
845,1997-05-07,1322.910034,0.0,0.0,,,,,0
850,1997-05-14,1335.550049,0.0,0.0,,,,,0
855,1997-05-21,1373.75,0.0,0.0,,,,,0
860,1997-05-29,1403.040039,0.0,0.0,,,,,0
865,1997-06-05,1390.050049,0.0,0.0,,,,,0
870,1997-06-12,1411.319946,0.0,0.0,,,,,0
875,1997-06-19,1447.140015,0.0,0.0,,,,,0
880,1997-06-26,1436.380005,0.0,0.0,,,,,0
885,1997-07-03,1467.609985,0.0,0.0,,,,,0
890,1997-07-11,1502.619995,0.25,0.0,890.2115729503871,1494.2615956455763,,,1
895,1997-07-18,1547.98999,0.0,0.0,,,,,0
900,1997-07-25,1569.579956,0.0,0.0,,,,,0
905,1997-08-01,1594.329956,0.25,0.0,920.3950133975557,1836.7929838551393,,,1
910,1997-08-08,1598.52002,0.25,0.0,936.5799865919694,1962.893575868068,,,1
915,1997-08-15,1562.030029,0.0,0.0,,,,,0
920,1997-08-22,1598.689941,0.0,0.0,,,,,0
925,1997-08-29,1587.319946,0.0,0.0,,,,,0
930,1997-09-08,1645.349976,0.0,0.0,,,,,0
935,1997-09-15,1634.920044,0.0,0.0,,,,,0
940,1997-09-22,1689.449951,0.2,0.0,940.0000000628406,1682.9470780493998,,,1
945,1997-09-29,1694.97998,0.2857142857142857,0.0,948.2663262597205,1739.3276238158828,,,2
950,1997-10-06,1721.910034,0.2857142857142857,0.0,952.5493456161691,1722.5452237479014,,,2
955,1997-10-13,1742.119995,0.6,0.0,962.4612008458569,1777.0276221510326,,,3
960,1997-10-20,1685.449951,0.25,0.0,968.3157590750186,1769.3550635362553,,,1
965,1997-10-27,1532.75,0.0,0.0,,,,,0
970,1997-11-03,1629.97998,0.0,0.0,,,,,0
975,1997-11-10,1590.719971,0.0,0.0,,,,,0
980,1997-11-17,1614.109985,0.0,0.0,,,,,0
985,1997-11-24,1586.98999,0.0,0.0,,,,,0
990,1997-12-02,1606.369995,0.0,0.0,,,,,0
995,1997-12-09,1620.550049,0.0,0.0,,,,,0
1000,1997-12-16,1553.0,0.0,0.0,,,,,0
1005,1997-12-23,1509.910034,0.0,0.0,,,,,0
1010,1997-12-31,1570.349976,0.0,0.0,,,,,0
1015,1998-01-08,1555.540039,0.0,0.0,,,,,0
1020,1998-01-15,1547.060059,0.0,0.0,,,,,0
1025,1998-01-23,1575.930054,0.0,0.0,,,,,0
1030,1998-01-30,1619.359985,0.0,0.0,,,,,0
